date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2019-02-05,135,62,73,0,62,0,0,0.0
2019-02-06,210,106,104,0,106,0,0,0.0
2019-02-07,207,120,87,0,120,0,0,0.0
2019-02-08,141,87,54,0,87,0,0,0.0
2019-02-10,5,0,5,0,0,0,0,0.0
2019-02-11,229,152,77,0,152,0,0,0.0
2019-02-12,231,132,99,0,132,0,0,0.0
2019-02-13,221,113,108,0,113,0,0,0.0
2019-02-14,225,144,81,0,144,0,0,0.0
2019-02-15,210,126,84,0,126,0,0,0.0
2019-02-17,13,0,13,0,0,0,0,0.0
2019-02-18,231,132,99,0,132,0,0,0.0
2019-02-19,233,138,95,0,138,0,0,0.0
2019-02-20,251,144,107,0,144,0,0,0.0
2019-02-21,154,60,94,0,60,0,0,0.0
2019-02-22,240,151,89,0,151,0,0,0.0
2019-02-24,17,0,17,0,0,0,0,0.0
2019-02-25,201,136,65,0,136,0,0,0.0
2019-02-26,209,113,96,0,113,0,0,0.0
2019-02-27,207,128,79,0,128,0,0,0.0
2019-02-28,231,130,101,0,130,0,0,0.0
2019-03-01,212,116,96,0,116,0,0,0.0
2019-03-03,13,0,13,0,0,0,0,0.0
2019-03-04,225,129,96,0,129,0,0,0.0
2019-03-05,235,129,106,0,129,0,0,0.0
2019-03-06,227,128,99,0,128,0,0,0.0
2019-03-07,237,149,88,0,149,0,0,0.0
2019-03-08,151,56,95,0,56,0,0,0.0
2019-03-10,3,0,3,0,0,0,0,0.0
2019-03-11,175,142,33,0,142,0,0,0.0
2019-03-12,226,134,92,0,134,0,0,0.0
2019-03-13,229,123,106,0,123,0,0,0.0
2019-03-14,209,96,113,0,96,0,0,0.0
2019-03-15,118,34,84,0,34,0,0,0.0
2019-03-17,11,0,11,0,0,0,0,0.0
2019-03-18,249,136,113,0,136,0,0,0.0
2019-03-19,230,121,109,0,121,0,0,0.0
2019-03-20,218,115,103,0,115,0,0,0.0
2019-03-21,241,152,89,0,152,0,0,0.0
2019-03-22,220,140,80,0,140,0,0,0.0
2019-03-24,24,12,12,0,12,0,0,0.0
2019-03-25,191,107,84,0,107,0,0,0.0
2019-03-26,176,86,90,0,86,0,0,0.0
2019-03-27,110,97,13,0,97,0,0,0.0
2019-03-28,159,57,102,0,57,0,0,0.0
2019-03-29,127,34,93,0,34,0,0,0.0
2019-03-31,18,12,6,0,12,0,0,0.0
2019-04-01,247,140,107,0,140,0,0,0.0
2019-04-02,147,76,71,0,76,0,0,0.0
2019-04-03,187,81,106,0,81,0,0,0.0
2019-04-04,198,104,94,0,104,0,0,0.0
2019-04-05,126,30,96,0,30,0,0,0.0
2019-04-07,12,0,12,0,0,0,0,0.0
2019-04-08,239,127,112,0,127,0,0,0.0
2019-04-09,241,135,106,0,135,0,0,0.0
2019-04-10,207,124,83,0,124,0,0,0.0
2019-04-11,232,123,109,0,123,0,0,0.0
2019-04-12,216,120,96,0,120,0,0,0.0
2019-04-14,29,12,17,0,12,0,0,0.0
